제작자,차명,생산기간(부터),생산기간(까지),리콜개시일,리콜사유
폭스바겐그룹코리아 주식회사,S5 TFSI Coupe,2020-10-20,2021-04-21,2022-02-25,특정 기간 동안 생산/수입된 일부 차량에 탑재된 에어백 제어 유닛 소프트웨어 오류로 차량 사고 발생 시 사고기록장치에 일부 데이터가 정확하게 저장되지 않을 수 있습니다. 이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제56조의2(사고기록장치)의 일부를 준수하지 않아 국내 자동차 안전 기준을 충족하지 않습니다
폭스바겐그룹코리아 주식회사,S4 TFSI,2020-11-10,2021-06-29,2022-02-25,특정 기간 동안 생산/수입된 일부 차량에 탑재된 에어백 제어 유닛 소프트웨어 오류로 차량 사고 발생 시 사고기록장치에 일부 데이터가 정확하게 저장되지 않을 수 있습니다. 이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제56조의2(사고기록장치)의 일부를 준수하지 않아 국내 자동차 안전 기준을 충족하지 않습니다
폭스바겐그룹코리아 주식회사,RS5,2021-04-02,2021-12-20,2022-02-25,특정 기간 동안 생산/수입된 일부 차량에 탑재된 에어백 제어 유닛 소프트웨어 오류로 차량 사고 발생 시 사고기록장치에 일부 데이터가 정확하게 저장되지 않을 수 있습니다. 이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제56조의2(사고기록장치)의 일부를 준수하지 않아 국내 자동차 안전 기준을 충족하지 않습니다
폭스바겐그룹코리아 주식회사,A5 Sportback 45 TFSI qu. Premium,2020-10-02,2020-10-16,2022-02-25,특정 기간 동안 생산/수입된 일부 차량에 탑재된 에어백 제어 유닛 소프트웨어 오류로 차량 사고 발생 시 사고기록장치에 일부 데이터가 정확하게 저장되지 않을 수 있습니다. 이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제56조의2(사고기록장치)의 일부를 준수하지 않아 국내 자동차 안전 기준을 충족하지 않습니다
폭스바겐그룹코리아 주식회사,A5 Sportback 40 TFSI qu. Premium,2020-10-22,2021-06-30,2022-02-25,특정 기간 동안 생산/수입된 일부 차량에 탑재된 에어백 제어 유닛 소프트웨어 오류로 차량 사고 발생 시 사고기록장치에 일부 데이터가 정확하게 저장되지 않을 수 있습니다. 이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제56조의2(사고기록장치)의 일부를 준수하지 않아 국내 자동차 안전 기준을 충족하지 않습니다
폭스바겐그룹코리아 주식회사,A5 Sportback 40 TFSI qu.,2020-10-22,2021-06-30,2022-02-25,특정 기간 동안 생산/수입된 일부 차량에 탑재된 에어백 제어 유닛 소프트웨어 오류로 차량 사고 발생 시 사고기록장치에 일부 데이터가 정확하게 저장되지 않을 수 있습니다. 이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제56조의2(사고기록장치)의 일부를 준수하지 않아 국내 자동차 안전 기준을 충족하지 않습니다
폭스바겐그룹코리아 주식회사,A5 Sportback 40 TDI qu. Premium,2020-09-01,2022-01-13,2022-02-25,특정 기간 동안 생산/수입된 일부 차량에 탑재된 에어백 제어 유닛 소프트웨어 오류로 차량 사고 발생 시 사고기록장치에 일부 데이터가 정확하게 저장되지 않을 수 있습니다. 이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제56조의2(사고기록장치)의 일부를 준수하지 않아 국내 자동차 안전 기준을 충족하지 않습니다
폭스바겐그룹코리아 주식회사,A5 Sportback 35 TDI Premium,2021-03-08,2021-05-07,2022-02-25,특정 기간 동안 생산/수입된 일부 차량에 탑재된 에어백 제어 유닛 소프트웨어 오류로 차량 사고 발생 시 사고기록장치에 일부 데이터가 정확하게 저장되지 않을 수 있습니다. 이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제56조의2(사고기록장치)의 일부를 준수하지 않아 국내 자동차 안전 기준을 충족하지 않습니다
폭스바겐그룹코리아 주식회사,A5 Coupe 45 TFSI qu. Premium,2020-10-10,2021-12-23,2022-02-25,특정 기간 동안 생산/수입된 일부 차량에 탑재된 에어백 제어 유닛 소프트웨어 오류로 차량 사고 발생 시 사고기록장치에 일부 데이터가 정확하게 저장되지 않을 수 있습니다. 이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제56조의2(사고기록장치)의 일부를 준수하지 않아 국내 자동차 안전 기준을 충족하지 않습니다
폭스바겐그룹코리아 주식회사,A5 Cabriolet 45 TFSI qu. Premium,2020-09-16,2021-11-11,2022-02-25,특정 기간 동안 생산/수입된 일부 차량에 탑재된 에어백 제어 유닛 소프트웨어 오류로 차량 사고 발생 시 사고기록장치에 일부 데이터가 정확하게 저장되지 않을 수 있습니다. 이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제56조의2(사고기록장치)의 일부를 준수하지 않아 국내 자동차 안전 기준을 충족하지 않습니다
폭스바겐그룹코리아 주식회사,A4 45 TFSI qu. Premium,2020-09-16,2022-01-14,2022-02-25,특정 기간 동안 생산/수입된 일부 차량에 탑재된 에어백 제어 유닛 소프트웨어 오류로 차량 사고 발생 시 사고기록장치에 일부 데이터가 정확하게 저장되지 않을 수 있습니다. 이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제56조의2(사고기록장치)의 일부를 준수하지 않아 국내 자동차 안전 기준을 충족하지 않습니다
폭스바겐그룹코리아 주식회사,A4 40 TFSI Premium,2020-07-21,2021-07-19,2022-02-25,특정 기간 동안 생산/수입된 일부 차량에 탑재된 에어백 제어 유닛 소프트웨어 오류로 차량 사고 발생 시 사고기록장치에 일부 데이터가 정확하게 저장되지 않을 수 있습니다. 이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제56조의2(사고기록장치)의 일부를 준수하지 않아 국내 자동차 안전 기준을 충족하지 않습니다
폭스바겐그룹코리아 주식회사,A4 40 TFSI,2020-07-21,2021-05-20,2022-02-25,특정 기간 동안 생산/수입된 일부 차량에 탑재된 에어백 제어 유닛 소프트웨어 오류로 차량 사고 발생 시 사고기록장치에 일부 데이터가 정확하게 저장되지 않을 수 있습니다. 이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제56조의2(사고기록장치)의 일부를 준수하지 않아 국내 자동차 안전 기준을 충족하지 않습니다
폭스바겐그룹코리아 주식회사,A4 40 TDI qu. Premium,2020-07-21,2021-07-15,2022-02-25,특정 기간 동안 생산/수입된 일부 차량에 탑재된 에어백 제어 유닛 소프트웨어 오류로 차량 사고 발생 시 사고기록장치에 일부 데이터가 정확하게 저장되지 않을 수 있습니다. 이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제56조의2(사고기록장치)의 일부를 준수하지 않아 국내 자동차 안전 기준을 충족하지 않습니다
폭스바겐그룹코리아 주식회사,A4 35 TDI Premium,2020-07-21,2022-01-21,2022-02-25,특정 기간 동안 생산/수입된 일부 차량에 탑재된 에어백 제어 유닛 소프트웨어 오류로 차량 사고 발생 시 사고기록장치에 일부 데이터가 정확하게 저장되지 않을 수 있습니다. 이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제56조의2(사고기록장치)의 일부를 준수하지 않아 국내 자동차 안전 기준을 충족하지 않습니다
폭스바겐그룹코리아 주식회사,A4 35 TDI,2020-07-21,2021-04-06,2022-02-25,특정 기간 동안 생산/수입된 일부 차량에 탑재된 에어백 제어 유닛 소프트웨어 오류로 차량 사고 발생 시 사고기록장치에 일부 데이터가 정확하게 저장되지 않을 수 있습니다. 이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제56조의2(사고기록장치)의 일부를 준수하지 않아 국내 자동차 안전 기준을 충족하지 않습니다
폭스바겐그룹코리아 주식회사,SQ8 TDI,2020-09-16,2020-10-01,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,SQ5 TFSI,2020-04-09,2020-04-10,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,SQ5 TDI,2020-03-19,2020-03-19,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,S8 LWB qu.,2020-11-25,2020-12-16,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,S7 TDI,2020-03-06,2020-09-17,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,S6 TDI,2020-03-06,2020-09-14,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,Q8 55 TFSI qu. Premium,2020-09-22,2020-10-19,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,Q8 50 TDI qu. Premium,2020-09-16,2020-10-02,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,Q8 45 TDI qu. Premium,2020-09-21,2020-09-24,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,Q7 55 TFSI qu. Premium,2020-09-24,2020-10-01,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,Q7 45 TDI qu. Premium,2020-09-18,2020-09-22,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,Q7 45 TDI qu.,2020-09-18,2020-09-21,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,Q5 50 TDI qu. Premium,2020-02-28,2020-03-20,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,Q5 45 TFSI qu. Premium,2020-01-23,2021-02-19,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,Q5 45 TFSI qu.,2020-01-24,2021-02-18,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,Q5 40 TDI qu. Premium,2020-02-05,2021-04-08,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,Q5 40 TDI qu.,2020-02-05,2021-04-08,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,e-tron 55 quattro,2020-03-20,2020-03-20,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A8 60 TFSI LWB qu.,2020-11-30,2020-12-15,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A8 55 TFSI LWB qu.,2019-12-02,2020-12-18,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A8 50 TDI LWB qu.,2019-12-12,2020-03-12,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A7 55 TFSI qu. Premium,2020-11-27,2020-12-17,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A7 50 TDI qu. Premium,2020-12-09,2020-09-22,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A7 45 TDI qu. Premium,2020-03-06,2020-09-08,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A6 50 TDI qu. Premium,2020-03-06,2020-09-15,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A6 45 TFSI qu. Premium,2019-11-28,2020-12-28,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A6 45 TFSI qu.,2019-11-28,2019-12-16,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A6 45 TFSI Premium,2020-02-21,2021-01-12,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A6 45 TFSI,2020-02-21,2020-12-29,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A6 45 TDI qu. Premium,2019-12-09,2020-09-17,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A6 40 TDI qu. Premium,2019-11-27,2020-09-23,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A6 40 TDI Premium,2019-12-02,2020-09-17,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A6 40 TDI,2019-12-12,2020-09-17,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A5 Sportback 45 TFSI qu. Premium,2020-03-04,2020-03-17,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A5 Sportback 40 TFSI qu. Premium,2020-12-10,2020-12-10,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A5 Sportback 40 TFSI qu.,2020-12-04,2020-12-09,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A5 Sportback 40 TDI qu. Premium,2020-02-03,2020-03-10,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A5 Coupe 45 TFSI qu. Premium,2020-02-21,2020-12-15,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A5 Cabriolet 45 TFSI qu. Premium,2020-02-14,2020-12-12,2022-02-25,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
